XLK,1.0,135.135,135.47,3919,4002,40,13.4,horizon_timeout,0.000721,0.002479,0.28,True,False,alpha,chop,chop,14.0,6.88,18,1024.6,2026-04-02T17:29:13.557817+00:00
XLK,1.0,135.348,135.2292,4050,4085,24,-2.85,pyramid_cut_full_at_-1.4R,0.000761,-0.000878,0.28,False,False,alpha,chop,chop,1.97,4.1,8,428.9,2026-04-02T17:46:16.905313+00:00
XOM,1.0,160.11,160.67,4124,4209,33,18.48,horizon_timeout,0.001347,0.003498,0.252,True,False,alpha,chop,chop,19.14,7.85,18,1053.3,2026-04-02T18:11:44.901035+00:00
NVDA,1.0,177.04,176.975,4359,4428,18,-1.17,pyramid_cut_partial_at_-0.9R,0.000478,-0.000367,0.3541,False,False,alpha,chop,chop,0.0,6.99,15,853.2,2026-04-02T18:56:25.522412+00:00
XOM,1.0,160.95,160.81,4407,4437,20,-2.8,pyramid_cut_full_at_-1.4R,0.000132,-0.00087,0.2761,False,False,alpha,chop,chop,1.0,6.52,7,370.0,2026-04-02T18:58:16.001874+00:00
SH,1.0,37.7,37.68,4451,4456,88,-1.76,pyramid_cut_full_at_-1.6R,0.000435,-0.000531,0.28,False,False,alpha,chop,chop,0.0,2.67,2,64.1,2026-04-02T19:02:16.553150+00:00
PSQ,1.0,31.87,31.82,4657,4697,105,-5.25,stop_loss,0.000373,-0.001569,0.28,False,False,alpha,chop,chop,1.58,2.79,8,486.4,2026-04-02T19:51:18.482733+00:00
QQQ,1.0,581.5,581.12,5448,5473,2,-0.76,pyramid_cut_full_at_-1.1R,0.000223,-0.000653,0.275,False,False,alpha,chop,chop,0.06,2.43,6,303.4,2026-04-07T15:43:13.981489+00:00
SPY,1.0,654.615,655.3517,5537,5622,6,4.42,horizon_timeout,0.000209,0.001125,0.28,True,False,alpha,chop,chop,7.29,6.82,18,1033.7,2026-04-07T16:13:20.251702+00:00
XLE,1.0,60.168,60.07,5676,5696,28,-2.74,pyramid_cut_full_at_-1.8R,0.000217,-0.001629,0.28,False,False,alpha,chop,chop,0.2,2.82,5,244.8,2026-04-07T16:28:16.963648+00:00
SH,1.0,37.66,37.61,5676,5696,44,-2.2,pyramid_cut_full_at_-1.7R,0.000563,-0.001328,0.28,False,False,alpha,chop,chop,0.0,2.65,5,244.8,2026-04-07T16:28:16.966980+00:00
XLE,1.0,60.0906,60.11,5869,5944,82,1.59,stop_loss,7.1e-05,0.000323,0.3216,True,False,alpha,chop,chop,6.1,0.77,15,911.6,2026-04-07T17:18:18.638494+00:00
QQQ,1.0,584.434,583.922,5943,5959,5,-2.56,pyramid_cut_full_at_-1.3R,0.000597,-0.000876,0.28,False,False,alpha,chop,chop,0.23,4.3,4,194.2,2026-04-07T17:21:20.917597+00:00
XLK,1.0,136.45,136.33,6067,6083,24,-2.88,pyramid_cut_full_at_-1.3R,0.000569,-0.000879,0.2576,False,False,alpha,chop,chop,0.48,5.99,4,194.4,2026-04-07T17:46:20.280727+00:00
SPY,1.0,656.83,656.45,6142,6187,2,-0.76,pyramid_cut_full_at_-1.4R,0.000508,-0.000579,0.28,False,False,alpha,chop,chop,0.16,1.45,10,547.6,2026-04-07T18:07:19.979972+00:00
PSQ,1.0,31.8064,31.79,6142,6202,59,-0.97,pyramid_cut_full_at_-1.5R,0.000347,-0.000517,0.4176,False,False,alpha,chop,chop,-0.38,1.57,13,729.4,2026-04-07T18:10:21.766111+00:00
XLE,1.0,59.9311,59.88,6255,6311,28,-1.43,pyramid_cut_full_at_-1.4R,0.000282,-0.000852,0.28,False,False,alpha,chop,chop,1.09,2.9,12,680.5,2026-04-07T18:32:23.731234+00:00
SPY,1.0,656.1925,655.9,6295,6350,1,-0.29,pyramid_cut_partial_at_-0.8R,0.000607,-0.000446,0.28,False,False,alpha,chop,chop,0.05,0.61,12,669.0,2026-04-07T18:40:17.500126+00:00
SH,1.0,37.73,37.7,6508,6529,88,-2.64,pyramid_cut_full_at_-1.3R,3.6e-05,-0.000795,0.28,False,False,alpha,chop,chop,-0.44,5.85,5,256.6,2026-04-07T19:16:23.625355+00:00
