id,client_idempotency_key,symbol,side,qty,order_type,tif,status,submitted_at,created_at,updated_at,broker_order_id,attributes,account_id,filled_qty,avg_fill_price,limit_price,stop_price,user_id
a3cf90bf-921e-4023-999d-f8c89aeb66d6,organism_QQQ_20260407_0df14a18_t5448,QQQ,buy,5.000000,limit,day,filled,2026-04-07 15:38:10.593495+00,2026-04-07 15:38:10.59015+00,2026-04-07 15:38:12.293352+00,e6b35785-af10-4e3b-8ed5-ff0e6e474c19,"{""tick"": 5448, ""broker"": ""alpaca"", ""reason"": ""organism_entry"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""confidence"": 0.275, ""alpaca_response"": ""{'id': 'e6b35785-af10-4e3b-8ed5-ff0e6e474c19', 'client_order_id': 'organism_QQQ_20260407_0df14a18_t5448', 'created_at': '2026-04-07T15:38:10.960764157Z', 'updated_at': '2026-04-07T15:38:10.961496847Z', 'submitted_at': '2026-04-07T15:38:10.960764157Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2d9e926c-e17c-47c3-ad8c-26c7a594e48f', 'symbol': 'QQQ', 'asset_class': 'us_equity', 'notional': None, 'qty': '5', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'limit', 'type': 'limit', 'side': 'buy', 'position_intent': 'buy_to_open', 'time_in_force': 'day', 'limit_price': '582.08', 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""e6b35785-af10-4e3b-8ed5-ff0e6e474c19""}",,5.000000,581.500000,,,system
468e4f18-4184-4b42-8b3d-bae1c3170b99,organism_exit_QQQ_20260407_0df14a18_t5463,QQQ,sell,2.000000,market,day,filled,2026-04-07 15:41:11.952341+00,2026-04-07 15:41:11.950735+00,2026-04-07 15:41:13.483191+00,1a0bfa0f-59ad-43c6-9444-ddaf52160827,"{""tick"": 5463, ""broker"": ""alpaca"", ""reason"": ""pyramid_cut_partial_at_-0.7R"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""alpaca_response"": ""{'id': '1a0bfa0f-59ad-43c6-9444-ddaf52160827', 'client_order_id': 'organism_exit_QQQ_20260407_0df14a18_t5463', 'created_at': '2026-04-07T15:41:12.864230203Z', 'updated_at': '2026-04-07T15:41:12.864809633Z', 'submitted_at': '2026-04-07T15:41:12.864230203Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2d9e926c-e17c-47c3-ad8c-26c7a594e48f', 'symbol': 'QQQ', 'asset_class': 'us_equity', 'notional': None, 'qty': '2', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'market', 'type': 'market', 'side': 'sell', 'position_intent': 'sell_to_close', 'time_in_force': 'day', 'limit_price': None, 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""1a0bfa0f-59ad-43c6-9444-ddaf52160827""}",,2.000000,581.160000,,,system
e772a368-4fa6-4ab1-8f78-b3a3015a7045,organism_exit_QQQ_20260407_0df14a18_t5467,QQQ,sell,1.000000,market,day,filled,2026-04-07 15:42:00.618744+00,2026-04-07 15:42:00.617601+00,2026-04-07 15:42:02.326013+00,878f6f05-cf53-432e-a2ac-fa13f33bf702,"{""tick"": 5467, ""broker"": ""alpaca"", ""reason"": ""pyramid_cut_partial_at_-0.7R"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""alpaca_response"": ""{'id': '878f6f05-cf53-432e-a2ac-fa13f33bf702', 'client_order_id': 'organism_exit_QQQ_20260407_0df14a18_t5467', 'created_at': '2026-04-07T15:42:01.563429032Z', 'updated_at': '2026-04-07T15:42:01.564083422Z', 'submitted_at': '2026-04-07T15:42:01.563429032Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2d9e926c-e17c-47c3-ad8c-26c7a594e48f', 'symbol': 'QQQ', 'asset_class': 'us_equity', 'notional': None, 'qty': '1', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'market', 'type': 'market', 'side': 'sell', 'position_intent': 'sell_to_close', 'time_in_force': 'day', 'limit_price': None, 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""878f6f05-cf53-432e-a2ac-fa13f33bf702""}",,1.000000,580.920000,,,system
c8add1a7-83d7-4fd3-832e-fc0cbdd9f691,organism_exit_QQQ_20260407_0df14a18_t5472,QQQ,sell,2.000000,market,day,filled,2026-04-07 15:43:01.396495+00,2026-04-07 15:43:01.396177+00,2026-04-07 15:43:03.630397+00,7d0ca2a7-35ba-408a-8666-371202a5699b,"{""tick"": 5472, ""broker"": ""alpaca"", ""reason"": ""pyramid_cut_full_at_-1.1R"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""alpaca_response"": ""{'id': '7d0ca2a7-35ba-408a-8666-371202a5699b', 'client_order_id': 'organism_exit_QQQ_20260407_0df14a18_t5472', 'created_at': '2026-04-07T15:43:02.328096786Z', 'updated_at': '2026-04-07T15:43:02.328615096Z', 'submitted_at': '2026-04-07T15:43:02.328096786Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2d9e926c-e17c-47c3-ad8c-26c7a594e48f', 'symbol': 'QQQ', 'asset_class': 'us_equity', 'notional': None, 'qty': '2', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'market', 'type': 'market', 'side': 'sell', 'position_intent': 'sell_to_close', 'time_in_force': 'day', 'limit_price': None, 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""7d0ca2a7-35ba-408a-8666-371202a5699b""}",,2.000000,581.120000,,,system
89e5f196-aed8-4cd5-bd5d-82e6d05b725f,organism_SPY_20260407_0df14a18_t5537,SPY,buy,4.000000,limit,day,filled,2026-04-07 15:56:06.547024+00,2026-04-07 15:56:06.546717+00,2026-04-07 15:56:08.420712+00,1902802c-6be4-45d5-a897-69a398b73125,"{""tick"": 5537, ""broker"": ""alpaca"", ""reason"": ""organism_entry"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""confidence"": 0.28, ""alpaca_response"": ""{'id': '1902802c-6be4-45d5-a897-69a398b73125', 'client_order_id': 'organism_SPY_20260407_0df14a18_t5537', 'created_at': '2026-04-07T15:56:06.906286258Z', 'updated_at': '2026-04-07T15:56:06.907052708Z', 'submitted_at': '2026-04-07T15:56:06.906286258Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': 'b28f4066-5c6d-479b-a2af-85dc1a8f16fb', 'symbol': 'SPY', 'asset_class': 'us_equity', 'notional': None, 'qty': '4', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'limit', 'type': 'limit', 'side': 'buy', 'position_intent': 'buy_to_open', 'time_in_force': 'day', 'limit_price': '654.3', 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""1902802c-6be4-45d5-a897-69a398b73125""}",,4.000000,653.620000,,,system
9691f1c4-bf06-4b79-b12f-3b3075a981d8,organism_SPY_20260407_0df14a18_t5572,SPY,buy,2.000000,limit,day,filled,2026-04-07 16:03:11.436906+00,2026-04-07 16:03:11.436582+00,2026-04-07 16:03:17.923118+00,1d0c2a23-ef06-46ae-bf1d-8d2ed81fb2da,"{""tick"": 5572, ""broker"": ""alpaca"", ""reason"": ""pyramid_add"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""confidence"": 0.7, ""alpaca_response"": ""{'id': '1d0c2a23-ef06-46ae-bf1d-8d2ed81fb2da', 'client_order_id': 'organism_SPY_20260407_0df14a18_t5572', 'created_at': '2026-04-07T16:03:12.401169246Z', 'updated_at': '2026-04-07T16:03:12.418734566Z', 'submitted_at': '2026-04-07T16:03:12.401169246Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': 'b28f4066-5c6d-479b-a2af-85dc1a8f16fb', 'symbol': 'SPY', 'asset_class': 'us_equity', 'notional': None, 'qty': '2', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'limit', 'type': 'limit', 'side': 'buy', 'position_intent': 'buy_to_open', 'time_in_force': 'day', 'limit_price': '657.29', 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""1d0c2a23-ef06-46ae-bf1d-8d2ed81fb2da""}",,2.000000,656.605000,,,system
7220706d-3cd4-46f0-b6eb-042a8638e44a,organism_exit_SPY_20260407_0df14a18_t5621,SPY,sell,6.000000,market,day,filled,2026-04-07 16:13:06.707176+00,2026-04-07 16:13:06.706256+00,2026-04-07 16:13:11.337651+00,a2384d69-4d19-42d3-8989-7035b7ddb93b,"{""tick"": 5621, ""broker"": ""alpaca"", ""reason"": ""horizon_timeout"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""alpaca_response"": ""{'id': 'a2384d69-4d19-42d3-8989-7035b7ddb93b', 'client_order_id': 'organism_exit_SPY_20260407_0df14a18_t5621', 'created_at': '2026-04-07T16:13:08.261645439Z', 'updated_at': '2026-04-07T16:13:08.262280329Z', 'submitted_at': '2026-04-07T16:13:08.261645439Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': 'b28f4066-5c6d-479b-a2af-85dc1a8f16fb', 'symbol': 'SPY', 'asset_class': 'us_equity', 'notional': None, 'qty': '6', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'market', 'type': 'market', 'side': 'sell', 'position_intent': 'sell_to_close', 'time_in_force': 'day', 'limit_price': None, 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""a2384d69-4d19-42d3-8989-7035b7ddb93b""}",,6.000000,655.351667,,,system
fc6d483d-d561-43ad-a421-4dd7e6b4b627,organism_SH_20260407_0df14a18_t5676,SH,buy,88.000000,limit,day,filled,2026-04-07 16:24:12.14937+00,2026-04-07 16:24:12.148944+00,2026-04-07 16:24:13.080112+00,c59d562b-44bc-40f0-a3e2-f05b63aee1f1,"{""tick"": 5676, ""broker"": ""alpaca"", ""reason"": ""organism_entry"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""confidence"": 0.28, ""alpaca_response"": ""{'id': 'c59d562b-44bc-40f0-a3e2-f05b63aee1f1', 'client_order_id': 'organism_SH_20260407_0df14a18_t5676', 'created_at': '2026-04-07T16:24:12.520079567Z', 'updated_at': '2026-04-07T16:24:12.520742217Z', 'submitted_at': '2026-04-07T16:24:12.520079567Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2de017f1-e3fb-4efd-87d8-5635b424c7ce', 'symbol': 'SH', 'asset_class': 'us_equity', 'notional': None, 'qty': '88', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'limit', 'type': 'limit', 'side': 'buy', 'position_intent': 'buy_to_open', 'time_in_force': 'day', 'limit_price': '37.71', 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""c59d562b-44bc-40f0-a3e2-f05b63aee1f1""}",,88.000000,37.660000,,,system
e73e95d1-5295-49c7-8b81-83d5a5ca4cd1,organism_XLE_20260407_0df14a18_t5676,XLE,buy,55.000000,limit,day,filled,2026-04-07 16:24:12.154541+00,2026-04-07 16:24:12.154311+00,2026-04-07 16:24:16.496666+00,d98626e0-183e-4d7c-ad3a-bc8d932ef657,"{""tick"": 5676, ""broker"": ""alpaca"", ""reason"": ""organism_entry"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""confidence"": 0.28, ""alpaca_response"": ""{'id': 'd98626e0-183e-4d7c-ad3a-bc8d932ef657', 'client_order_id': 'organism_XLE_20260407_0df14a18_t5676', 'created_at': '2026-04-07T16:24:12.727087634Z', 'updated_at': '2026-04-07T16:24:12.728322764Z', 'submitted_at': '2026-04-07T16:24:12.727087634Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2dda3c96-2138-4313-b15b-dd870c7e0ea8', 'symbol': 'XLE', 'asset_class': 'us_equity', 'notional': None, 'qty': '55', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'limit', 'type': 'limit', 'side': 'buy', 'position_intent': 'buy_to_open', 'time_in_force': 'day', 'limit_price': '60.24', 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""d98626e0-183e-4d7c-ad3a-bc8d932ef657""}",,55.000000,60.168000,,,system
5c5f0a66-2bfd-4da2-8203-79dcc191020e,organism_exit_SH_20260407_0df14a18_t5685,SH,sell,44.000000,market,day,filled,2026-04-07 16:26:02.19135+00,2026-04-07 16:26:02.190995+00,2026-04-07 16:26:07.13229+00,57788e82-75c3-444f-8a9f-7855bf358131,"{""tick"": 5685, ""broker"": ""alpaca"", ""reason"": ""pyramid_cut_partial_at_-0.8R"", ""source"": ""organism"", ""status"": ""pending_new"", ""message"": ""Order submitted to Alpaca"", ""success"": ""True"", ""alpaca_response"": ""{'id': '57788e82-75c3-444f-8a9f-7855bf358131', 'client_order_id': 'organism_exit_SH_20260407_0df14a18_t5685', 'created_at': '2026-04-07T16:26:03.102527658Z', 'updated_at': '2026-04-07T16:26:03.103046468Z', 'submitted_at': '2026-04-07T16:26:03.102527658Z', 'filled_at': None, 'expired_at': None, 'canceled_at': None, 'failed_at': None, 'replaced_at': None, 'replaced_by': None, 'replaces': None, 'asset_id': '2de017f1-e3fb-4efd-87d8-5635b424c7ce', 'symbol': 'SH', 'asset_class': 'us_equity', 'notional': None, 'qty': '44', 'filled_qty': '0', 'filled_avg_price': None, 'order_class': '', 'order_type': 'market', 'type': 'market', 'side': 'sell', 'position_intent': 'sell_to_close', 'time_in_force': 'day', 'limit_price': None, 'stop_price': None, 'status': 'pending_new', 'extended_hours': False, 'legs': None, 'trail_percent': None, 'trail_price': None, 'hwm': None, 'subtag': None, 'source': None, 'expires_at': '2026-04-07T20:00:00Z'}"", ""broker_order_id"": ""57788e82-75c3-444f-8a9f-7855bf358131""}",,44.000000,37.640000,,,system
